,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
29,4,1,17,105021,105089,0,0,105304,106304,105089,105304,1,0,0,0,0,0,
29,3,1,17,106304,106631,0,1,0,0,106631,106931,0,0,0,0,106931,107438,
30,0,1,17,108438,108729,0,1,0,0,108729,109029,0,0,0,0,109029,109576,
31,0,1,18,109576,109635,0,0,0,0,109635,109935,0,0,0,0,109935,110335,
32,4,1,19,110335,110390,0,0,110660,111660,110390,110660,0,1,0,0,0,0,
32,4,1,19,111660,111884,0,0,112001,113001,111884,112001,0,1,0,0,0,0,
32,3,1,19,113001,113333,0,0,0,0,113333,113633,0,0,0,0,113633,113790,
33,4,1,19,114790,115731,0,1,115994,116994,115731,115994,0,1,0,0,0,0,
33,0,1,19,116994,119958,0,1,0,0,119958,120258,0,0,0,0,120258,120389,
34,4,1,20,120389,120447,0,0,120623,121623,120447,120623,0,1,0,0,0,0,
34,4,1,20,121623,121750,0,0,122008,123008,121750,122008,0,1,0,0,0,0,
34,3,1,20,123008,123081,0,0,0,0,123081,123381,0,0,0,0,123381,123964,
35,4,1,20,124964,125998,0,0,126215,127215,125998,126215,0,1,0,0,0,0,
35,0,1,20,127215,127485,0,0,0,0,127485,127785,0,0,0,0,127785,128156,
36,0,0,21,128156,128203,0,0,0,0,128203,128503,0,0,128503,128663,0,0,
37,4,1,22,128663,128719,0,0,129011,130011,128719,129011,0,1,0,0,0,0,
37,3,1,22,130011,130452,0,0,0,0,130452,130752,0,0,0,0,130752,130755,
38,0,1,22,131755,132580,0,1,0,0,132580,132880,0,0,0,0,132880,133282,
39,4,0,23,133282,133340,0,0,133580,134580,133340,133580,0,1,0,0,0,0,
39,1,0,23,134580,134683,0,0,0,0,134683,134983,0,0,134983,135051,0,0,
