,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
39,4,1,18,79747,79853,0,0,80039,80539,79853,80039,0,1,0,0,0,0,
39,4,1,18,80539,81526,0,0,81746,82246,81526,81746,1,0,0,0,0,0,
39,1,1,18,82246,82468,0,1,0,0,82468,82818,0,0,82818,83167,0,0,
40,1,1,18,84167,84356,1,0,0,0,84356,84706,0,0,84706,84891,0,0,
41,1,1,18,85891,86745,1,0,0,0,86745,87095,0,0,87095,87406,0,0,
42,0,1,18,88406,88416,0,0,0,0,88416,88766,0,0,88766,89185,0,0,
43,0,1,19,89185,89264,0,0,0,0,89264,89614,0,0,89614,89667,0,0,
44,3,0,20,89667,89744,0,0,0,0,89744,90094,0,0,0,0,90094,90215,
45,0,0,20,91215,91226,0,0,0,0,91226,91576,0,0,0,0,91576,91801,
46,1,1,21,91801,91864,0,0,0,0,91864,92214,0,0,92214,92316,0,0,
47,0,1,21,93316,93354,0,0,0,0,93354,93704,0,0,93704,94132,0,0,
48,1,1,22,94132,94218,0,0,0,0,94218,94568,0,0,94568,94826,0,0,
49,4,1,22,95826,96550,0,0,96722,97222,96550,96722,0,1,0,0,0,0,
49,1,1,22,97222,97580,0,0,0,0,97580,97930,0,0,97930,98301,0,0,
50,1,1,22,99301,99354,0,0,0,0,99354,99704,0,0,99704,99868,0,0,
51,0,1,22,100868,100879,0,0,0,0,100879,101229,0,0,101229,101861,0,0,
52,3,0,23,101861,101942,0,0,0,0,101942,102292,0,0,0,0,102292,102396,
53,3,0,23,103396,103596,0,1,0,0,103596,103946,0,0,0,0,103946,104098,
54,0,0,23,105098,110713,0,0,0,0,110713,111063,0,0,0,0,111063,111272,
55,0,0,24,111272,111346,0,0,0,0,111346,111696,0,0,0,0,111696,111727,
56,0,1,25,111727,111802,0,0,0,0,111802,112152,0,0,112152,112424,0,0,
