,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
43,0,0,41,88045,88157,0,0,0,0,88157,88607,0,0,88607,88788,0,0,
44,0,0,42,88788,88834,0,0,0,0,88834,89284,0,0,89284,89473,0,0,
45,0,0,43,89473,89534,0,0,0,0,89534,89984,0,0,89984,90207,0,0,
46,0,1,44,90207,90291,0,0,0,0,90291,90741,0,0,0,0,90741,91144,
47,0,1,45,91144,91255,0,0,0,0,91255,91705,0,0,0,0,91705,91794,
48,0,1,46,91794,91873,0,0,0,0,91873,92323,0,0,0,0,92323,93161,
49,0,1,47,93161,93209,0,0,0,0,93209,93659,0,0,0,0,93659,95559,
50,0,1,48,95559,95605,0,0,0,0,95605,96055,0,0,0,0,96055,96682,
51,0,0,49,96682,96775,0,0,0,0,96775,97225,0,0,97225,97710,0,0,
52,0,1,50,97710,97797,0,0,0,0,97797,98247,0,0,0,0,98247,98460,
53,0,0,51,98460,98552,0,0,0,0,98552,99002,0,0,99002,99695,0,0,
54,0,1,52,99695,99782,0,0,0,0,99782,100232,0,0,0,0,100232,100717,
55,0,0,53,100717,100776,0,0,0,0,100776,101226,0,0,101226,101891,0,0,
56,0,1,54,101891,102019,0,0,0,0,102019,102469,0,0,0,0,102469,102641,
57,1,0,55,102641,102702,0,0,0,0,102702,103152,0,0,103152,103953,0,0,
58,0,0,55,104953,111018,0,0,0,0,111018,111468,0,0,111468,111603,0,0,
59,4,1,56,111603,111661,0,0,111941,112941,111661,111941,0,1,0,0,0,0,
59,0,1,56,112941,113264,0,0,0,0,113264,113714,0,0,0,0,113714,114141,
60,1,0,57,114141,114233,0,0,0,0,114233,114683,0,0,114683,115096,0,0,
61,0,0,57,116096,116746,0,0,0,0,116746,117196,0,0,117196,117323,0,0,
62,4,0,58,117323,117394,0,0,117626,118626,117394,117626,0,1,0,0,0,0,
62,0,0,58,118626,119362,0,0,0,0,119362,119812,0,0,119812,119951,0,0,
63,4,1,59,119951,120002,0,0,120289,121289,120002,120289,0,1,0,0,0,0,
63,0,1,59,121289,121312,0,0,0,0,121312,121762,0,0,0,0,121762,122017,
64,1,0,60,122017,122070,0,0,0,0,122070,122520,0,0,122520,123176,0,0,
